User_ID,Add_to_Cart,Browse,Login,Purchase
User_0,1,5,3,1
User_1,3,1,3,3
User_10,2,0,3,3
User_100,1,2,2,4
User_101,1,2,4,5
User_102,1,4,1,2
User_103,2,4,2,3
User_104,3,4,2,5
User_105,3,3,2,5
User_106,2,1,2,1
User_107,2,3,2,6
User_108,1,3,5,2
User_109,3,4,3,1
User_11,4,2,2,3
User_110,1,2,3,6
User_111,1,1,1,4
User_112,3,3,3,1
User_113,2,3,4,4
User_114,2,1,2,2
User_115,3,3,0,3
User_116,1,1,0,4
User_117,1,1,3,5
User_118,3,1,3,4
User_119,3,3,6,3
User_12,2,1,6,0
User_120,3,3,1,2
User_121,2,1,1,3
User_122,4,4,0,1
User_123,2,2,2,2
User_124,2,4,2,1
User_125,3,1,1,3
User_126,1,6,2,3
User_127,3,5,2,2
User_128,1,2,2,2
User_129,5,4,0,4
User_13,4,2,1,3
User_130,3,1,3,1
User_131,4,1,1,1
User_132,2,3,1,5
User_133,5,4,2,2
User_134,3,4,1,0
User_135,1,1,4,1
User_136,2,3,2,4
User_137,2,5,2,3
User_138,1,2,2,2
User_139,4,7,5,3
User_14,10,0,3,3
User_140,5,2,1,0
User_141,1,2,1,3
User_142,2,3,5,4
User_143,3,5,4,3
User_144,8,2,3,2
User_145,3,5,2,0
User_146,5,2,2,3
User_147,4,3,5,3
User_148,6,0,2,2
User_149,1,0,4,2
User_15,0,3,4,1
User_150,1,3,1,2
User_151,1,3,5,3
User_152,2,3,3,4
User_153,1,6,3,0
User_154,2,1,1,1
User_155,1,1,3,3
User_156,2,3,1,1
User_157,3,3,5,2
User_158,3,4,6,3
User_159,3,4,3,0
User_16,1,1,0,4
User_160,1,1,1,1
User_161,3,4,1,5
User_162,3,3,3,3
User_163,3,0,3,2
User_164,5,1,4,3
User_165,1,2,3,2
User_166,2,4,3,0
User_167,2,2,6,1
User_168,2,3,3,5
User_169,6,1,5,2
User_17,2,5,1,4
User_170,3,2,3,2
User_171,4,1,1,4
User_172,1,1,1,2
User_173,6,2,4,2
User_174,4,2,4,3
User_175,1,4,2,3
User_176,2,2,2,1
User_177,8,1,3,0
User_178,1,1,2,1
User_179,4,2,1,4
User_18,4,3,5,2
User_180,5,1,1,3
User_181,7,4,1,2
User_182,3,0,2,1
User_183,1,3,1,0
User_184,6,2,2,2
User_185,4,2,1,2
User_186,0,3,2,3
User_187,1,3,2,1
User_188,1,1,6,3
User_189,2,3,1,3
User_19,0,1,1,2
User_190,3,3,2,1
User_191,6,2,4,2
User_192,5,3,2,1
User_193,2,2,6,2
User_194,4,2,4,3
User_195,2,3,1,2
User_196,0,3,0,2
User_197,2,2,5,0
User_198,4,3,2,4
User_199,2,2,2,1
User_2,1,2,0,4
User_20,4,1,4,3
User_200,2,3,5,4
User_201,2,5,3,4
User_202,1,5,3,1
User_203,3,5,6,6
User_204,2,2,0,1
User_205,2,0,3,0
User_206,2,4,2,2
User_207,1,2,3,1
User_208,1,2,1,2
User_209,2,7,4,1
User_21,2,3,0,5
User_210,2,3,2,2
User_211,2,1,1,3
User_212,1,5,3,3
User_213,1,2,2,0
User_214,1,3,0,2
User_215,4,2,2,2
User_216,2,3,3,1
User_217,4,1,0,3
User_218,1,4,3,0
User_219,2,2,1,1
User_22,2,1,0,2
User_220,3,3,3,1
User_221,4,1,4,1
User_222,2,2,2,3
User_223,4,1,1,3
User_224,2,1,6,0
User_225,2,4,0,7
User_226,2,4,1,1
User_227,4,5,1,2
User_228,1,2,8,4
User_229,0,5,1,2
User_23,4,2,5,2
User_230,3,4,4,2
User_231,1,1,2,3
User_232,2,2,4,2
User_233,0,2,1,0
User_234,3,4,2,2
User_235,1,3,2,2
User_236,3,3,0,3
User_237,4,1,2,1
User_238,2,2,3,3
User_239,3,5,1,1
User_24,3,1,3,4
User_240,4,4,6,3
User_241,3,1,1,5
User_242,5,2,6,2
User_243,3,2,1,1
User_244,0,2,1,5
User_245,3,2,3,2
User_246,2,2,0,5
User_247,4,6,2,1
User_248,1,2,1,1
User_249,4,1,4,3
User_25,1,3,4,4
User_250,2,3,3,2
User_251,3,2,3,1
User_252,4,3,1,2
User_253,2,1,0,1
User_254,6,4,4,1
User_255,4,2,1,1
User_256,4,0,0,1
User_257,4,1,5,5
User_258,1,4,4,7
User_259,3,4,0,3
User_26,4,3,2,2
User_260,2,2,3,0
User_261,3,1,2,1
User_262,2,3,3,2
User_263,3,3,4,3
User_264,2,2,1,0
User_265,3,3,1,4
User_266,1,2,6,3
User_267,2,2,1,2
User_268,6,3,2,4
User_269,4,2,2,0
User_27,0,2,2,3
User_270,1,3,3,1
User_271,1,0,5,3
User_272,6,2,6,2
User_273,2,2,1,4
User_274,6,2,3,3
User_275,4,0,4,0
User_276,6,1,3,1
User_277,4,3,1,0
User_278,1,5,7,2
User_279,3,2,1,4
User_28,4,4,4,1
User_280,5,3,2,2
User_281,1,3,1,4
User_282,2,1,4,3
